date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:53	63637/63637	---M--	200	added ('OK')	application/pdf	etag:%221b30bef1ed3fd41:0%22	http://www.radprocalculator.com/Files/SmartphoneVersion.pdf	C:/My%20Web%20Sites/RadPro/www.radprocalculator.com/Files/SmartphoneVersion.pdf	(from http://www.radprocalculator.com/Decay.aspx)
11:23:53	35544/35544	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2010:23:50%20GMT	http://www.radprocalculator.com/	C:/My%20Web%20Sites/RadPro/www.radprocalculator.com/index.html	(from http://www.radprocalculator.com/js/stmenu.js)
11:23:54	165/165	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_254-mJSri	C:/My%20Web%20Sites/RadPro/www.radprocalculator.com/DXR935d.png	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
11:23:55	78/78	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_253-mJSri	C:/My%20Web%20Sites/RadPro/www.radprocalculator.com/DXR475e.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
11:23:55	86/86	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_255-mJSri	C:/My%20Web%20Sites/RadPro/www.radprocalculator.com/DXR2e5c.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
11:23:56	812/812	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_240-mJSri	C:/My%20Web%20Sites/RadPro/www.radprocalculator.com/DXR5ad6.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
11:23:56	15002/15002	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_252-mJSri	C:/My%20Web%20Sites/RadPro/www.radprocalculator.com/DXR99a2.png	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
11:23:56	812/812	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_239-mJSri	C:/My%20Web%20Sites/RadPro/www.radprocalculator.com/DXR6cc6.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
11:23:57	60740/60740	---M--	200	added ('OK')	application/pdf	etag:%2213407399ed3fd41:0%22	http://www.radprocalculator.com/Files/ProbabilityPlot.pdf	C:/My%20Web%20Sites/RadPro/www.radprocalculator.com/Files/ProbabilityPlot.pdf	(from http://www.radprocalculator.com/Decay.aspx)
11:23:57	814/814	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_238-mJSri	C:/My%20Web%20Sites/RadPro/www.radprocalculator.com/DXR84b8.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
11:23:57	814/814	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_237-mJSri	C:/My%20Web%20Sites/RadPro/www.radprocalculator.com/DXR93cc.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
11:23:58	816/816	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_229-mJSri	C:/My%20Web%20Sites/RadPro/www.radprocalculator.com/DXRddcd.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
